pipeline,scale,output_rows,plain_wrapped_ms,provenance_build_ms,pure_provenance_overhead_ms,overhead_ratio,memory_mb,join_output_rows_before_filter,join_tensor_construction_ms
retail,1,9800,205.450,185.944,-19.506,0.905,1.522827,,
retail,5,49000,991.566,1074.858,83.293,1.084,7.614136,,
retail,10,98000,2079.102,2126.509,47.407,1.023,15.228271,,
retail,25,245000,5319.267,5346.650,27.383,1.005,38.070679,,
retail,50,490000,11526.113,11196.268,-329.845,0.971,76.141357,,
retail,100,980000,28631.226,34580.646,5949.420,1.208,152.282715,,
iot,1,14700,266.729,262.489,-4.240,0.984,2.284241,,
iot,5,73500,1474.795,1405.991,-68.804,0.953,11.421204,,
iot,10,147000,2898.386,2921.553,23.167,1.008,22.842407,,
iot,25,367500,7077.420,7669.010,591.590,1.084,57.106018,,
iot,50,735000,17759.203,20734.233,2975.029,1.168,114.212036,,
iot,100,1470000,47155.999,50275.649,3119.650,1.066,228.424072,,
deep_logistics,1,3000,472.424,403.895,-68.530,0.855,2.407837,,
deep_logistics,5,15000,2170.088,2089.458,-80.631,0.963,12.039185,,
deep_logistics,10,30000,4194.989,4231.818,36.828,1.009,24.078369,,
deep_logistics,25,75000,10483.798,11454.539,970.741,1.093,60.195923,,
deep_logistics,50,150000,24597.083,30414.627,5817.544,1.237,120.391846,,
deep_logistics,100,300000,66313.756,69632.616,3318.860,1.050,240.783691,,
