pipeline,scale,query_size,forward_lineage_ms,backward_lineage_ms,forward_recompute_ms,backward_recompute_ms,full_rerun_ms,result_size
retail,1,1,0.027291,0.008834,0.032500,0.012375,189.741416,0
retail,1,10,0.024791,0.016417,0.023459,0.024167,194.563459,0
retail,1,100,0.077667,0.071250,0.026375,0.026000,167.256541,49
retail,1,1000,0.638916,0.707083,0.019875,0.017583,193.420958,490
retail,5,1,0.018208,0.008167,0.048208,0.032291,1295.059167,0
retail,5,10,0.024292,0.014833,0.048708,0.053708,1213.242459,0
retail,5,100,0.096875,0.074500,0.069250,0.115583,1220.016667,49
retail,5,1000,0.640791,0.697541,0.061875,0.100791,1343.610333,490
retail,10,1,0.024417,0.009000,0.067417,0.063250,2614.105625,0
retail,10,10,0.024375,0.014541,0.052250,0.067125,2306.254500,0
retail,10,100,0.082000,0.071125,0.048292,0.063834,2206.934208,49
retail,10,1000,0.636875,0.701250,0.050292,0.063250,2420.989875,490
retail,25,1,0.032041,0.009166,0.061125,0.061041,6380.957167,0
retail,25,10,0.027292,0.014583,0.065917,0.067833,6361.516666,0
retail,25,100,0.087375,0.073250,0.068333,0.102166,5696.970667,49
retail,25,1000,0.768333,1.016125,0.083875,0.089916,7684.717458,490
retail,50,1,0.033208,0.014542,0.075666,0.072041,13683.484458,0
retail,50,10,0.040625,0.030791,0.112500,0.066208,11545.379750,0
retail,50,100,0.126459,0.097708,0.081333,0.073584,13318.469417,49
retail,50,1000,0.736917,0.962500,0.066583,0.067083,11231.892125,490
retail,100,1,0.087958,0.048833,0.215250,0.073000,25251.209666,0
retail,100,10,0.162792,0.055625,0.126750,0.074250,27424.530875,0
retail,100,100,1.959250,0.373917,0.290708,0.092583,27025.509750,49
retail,100,1000,1.093542,1.079500,0.132708,0.082125,28246.283334,490
